cid,blend,nco_oh,mdi_fraction,property_score,robust_score,state_score,state_robust_score,state_nominal_rank,state_robust_rank
WO_INV_0376,PPG1000:20+PPG700:80,2.2,0.4250593626208094,0.0357603668003769,0.0766872185214869,0.8841388906496912,4.132652825833228,90.0,41.0
WO_INV_0408,PPG1000:40+PPG700:60,2.2,0.4090253646313501,0.0193240453935003,0.0543800107480414,0.6452012264930788,4.145688901690262,67.0,42.0
WO_INV_0580,PPG2000:60+PPG400:40,1.8,0.3693179488958334,0.0016655583283342,0.0296318116587664,0.12840067987659892,4.169561379985867,12.0,43.0
WO_INV_0424,PPG1000:50+PPG700:50,2.2,0.4006682548957911,0.0132610928825666,0.045357697144876,0.5757768207686523,4.181093630536303,58.0,44.0
WO_INV_0564,PPG2000:50+PPG400:50,1.8,0.4032255658167605,0.0198317962526839,0.0633512287461179,0.4168147597069983,4.224102983033765,43.0,45.0
WO_INV_0310,PPG1000:70+PPG400:30,2.0,0.4205333990062148,0.0379477471100782,0.0838377660638605,0.7959948396309304,4.239194342365966,80.0,46.0
WO_INV_0343,PPG1000:90+PPG400:10,2.1,0.3766960684325386,0.0038660905773729,0.0310039122603082,0.34751704805692485,4.244626546622107,35.0,47.0
WO_INV_0470,PPG1000:80+PPG700:20,2.0,0.352079823765712,0.0018564413712887,0.0270464637338635,0.2699869681884911,4.265991400736785,28.0,48.0
WO_INV_0647,PPG2000:10+PPG700:90,2.1,0.4124391048215981,0.0227743289435511,0.0629500349879522,0.6079811788550458,4.277700354127396,62.0,49.0
WO_INV_0455,PPG1000:70+PPG700:30,2.1,0.3722900584868738,0.0029920572923178,0.0284269274596659,0.3551298830017996,4.279575769178406,38.0,50.0
WO_INV_0662,PPG2000:20+PPG700:80,2.0,0.3834961930889923,0.0049819861640085,0.0352572357770493,0.3023198446634382,4.290922679922174,30.0,51.0
WO_INV_0565,PPG2000:50+PPG400:50,1.9,0.4163012469264612,0.0259522776763886,0.0712834273370512,0.5795224509359256,4.330555310064842,59.0,52.0
WO_INV_0328,PPG1000:80+PPG400:20,2.2,0.417152615673349,0.0250482590051071,0.0636167077812629,0.7476332916377956,4.340051652899736,73.0,53.0
WO_INV_0356,PPG1000:10+PPG700:90,1.8,0.3843103814505031,0.0184191433885115,0.0593824974423358,0.3871052041677464,4.349474083960325,40.0,54.0
