scale,winner,n_admissible,winner_score
0.9625,WO_INV_0420,120,0.020539759362525875
0.965,WO_INV_0420,120,0.020628885416529238
0.9675,WO_INV_0420,120,0.020718208078532602
0.97,WO_INV_0420,120,0.020807727348535962
0.9725,WO_INV_0420,120,0.02089744322653933
0.975,WO_INV_0420,120,0.02098735571254269
0.9775,WO_INV_0420,119,0.021077464806546056
0.98,WO_INV_0420,118,0.021167770508549417
0.9825,WO_INV_0420,118,0.021258272818552783
0.985,WO_INV_0420,117,0.021348971736556147
0.9875,WO_INV_0420,117,0.021439867262559514
0.99,WO_INV_0420,117,0.021530959396562875
0.9925,WO_INV_0420,117,0.02162224813856624
0.995,WO_INV_0420,117,0.0217137334885696
0.9975,WO_INV_0420,117,0.021805415446572964
1.0,WO_INV_0420,117,0.021897294012576327
1.0025,WO_INV_0420,116,0.02198936918657969
1.0050000000000001,WO_INV_0420,116,0.02208164096858306
1.0075,WO_INV_0420,116,0.022174109358586422
1.01,WO_INV_0420,116,0.022266774356589785
1.0125,WO_INV_0420,116,0.022359635962593147
1.0150000000000001,WO_INV_0420,116,0.02245269417659651
1.0175,WO_INV_0420,116,0.022545948998599873
1.02,WO_INV_0420,115,0.022639400428603237
1.0225,WO_INV_0420,115,0.0227330484666066
1.025,WO_INV_0420,115,0.02282689311260996
1.0275,WO_INV_0420,115,0.02292093436661333
1.03,WO_INV_0420,115,0.023015172228616692
1.0325,WO_INV_0420,115,0.023109606698620055
1.035,WO_INV_0420,115,0.023204237776623414
1.0375,WO_INV_0420,115,0.02329906546262679
1.04,WO_INV_0420,115,0.023394089756630147
1.0425,WO_INV_0420,115,0.023489310658633505
1.045,WO_INV_0420,115,0.023584728168636868
1.0475,WO_INV_0420,115,0.02368034228664024
1.05,WO_INV_0420,115,0.0237761530126436
1.0525,WO_INV_0420,115,0.023872160346646965
1.055,WO_INV_0420,114,0.023968364288650325
1.0575,WO_INV_0420,113,0.024064764838653694
1.06,WO_INV_0420,113,0.024161361996657055
1.0625,WO_INV_0420,113,0.024258155762660417
1.065,WO_INV_0420,113,0.024355146136663782
1.0675000000000001,WO_INV_0420,113,0.024452333118667152
1.07,WO_INV_0420,112,0.02454971670867051
1.0725,WO_INV_0420,112,0.024647296906673874
1.075,WO_INV_0420,112,0.024745073712677233
1.0775000000000001,WO_INV_0420,112,0.024843047126680604
1.08,WO_INV_0420,112,0.024941217148683966
1.0825,WO_INV_0420,112,0.025039583778687327
1.085,WO_INV_0420,111,0.02513814701669069
1.0875000000000001,WO_INV_0420,111,0.025236906862694062
1.09,WO_INV_0420,111,0.025335863316697422
1.0925,WO_INV_0420,111,0.025435016378700784
1.095,WO_INV_0420,111,0.025534366048704144
1.0975,WO_INV_0420,111,0.025633912326707503
1.1,WO_INV_0420,110,0.025733655212710874
1.1025,WO_INV_0420,110,0.025833594706714237
1.105,WO_INV_0420,110,0.025933730808717602
