source_candidate_id,blend,nco_oh,mdi_parts,PPG400,PPG700,PPG1000,PPG2000,mdi_fraction_total
WO_INV_0204,PPG1000:90+PPG2000:10,2.6,61.81175,0,0,90,10,0.3819979081
WO_INV_0205,PPG1000:90+PPG2000:10,2.7,64.189125,0,0,90,10,0.390946264
WO_INV_0206,PPG1000:90+PPG2000:10,2.8,66.5665,0,0,90,10,0.3996391831
WO_INV_0207,PPG1000:90+PPG2000:10,2.9,68.943875,0,0,90,10,0.4080874492
WO_INV_0208,PPG1000:90+PPG2000:10,3,71.32125,0,0,90,10,0.4163012469
WO_INV_0209,PPG1000:10+PPG400:90,1.5,88.213125,90,0,10,0,0.4686874255
WO_INV_0210,PPG1000:10+PPG400:90,1.6,94.094,90,0,10,0,0.4847857224
WO_INV_0211,PPG1000:10+PPG400:90,1.7,99.974875,90,0,10,0,0.4999371796
WO_INV_0212,PPG1000:10+PPG400:90,1.8,105.85575,90,0,10,0,0.514222945
WO_INV_0213,PPG1000:10+PPG400:90,1.9,111.736625,90,0,10,0,0.5277151508
WO_INV_0214,PPG1000:10+PPG400:90,2,117.6175,90,0,10,0,0.5404781325
WO_INV_0215,PPG1000:10+PPG400:90,2.1,123.498375,90,0,10,0,0.5525694538
WO_INV_0216,PPG1000:10+PPG400:90,2.2,129.37925,90,0,10,0,0.5640407753
WO_INV_0217,PPG1000:10+PPG400:90,2.3,135.260125,90,0,10,0,0.5749385919
WO_INV_0218,PPG1000:10+PPG400:90,2.4,141.141,90,0,10,0,0.5853048631
WO_INV_0219,PPG1000:10+PPG400:90,2.5,147.021875,90,0,10,0,0.5951775526
WO_INV_0220,PPG1000:10+PPG400:90,2.6,152.90275,90,0,10,0,0.6045910928
WO_INV_0221,PPG1000:10+PPG400:90,2.7,158.783625,90,0,10,0,0.6135767864
WO_INV_0222,PPG1000:10+PPG400:90,2.8,164.6645,90,0,10,0,0.6221631537
WO_INV_0223,PPG1000:10+PPG400:90,2.9,170.545375,90,0,10,0,0.6303762354
WO_INV_0224,PPG1000:10+PPG400:90,3,176.42625,90,0,10,0,0.638239856
WO_INV_0225,PPG1000:20+PPG400:80,1.5,82.5825,80,0,20,0,0.4523023839
WO_INV_0226,PPG1000:20+PPG400:80,1.6,88.088,80,0,20,0,0.4683339713
WO_INV_0227,PPG1000:20+PPG400:80,1.7,93.5935,80,0,20,0,0.4834537317
WO_INV_0228,PPG1000:20+PPG400:80,1.8,99.099,80,0,20,0,0.4977373066
WO_INV_0229,PPG1000:20+PPG400:80,1.9,104.6045,80,0,20,0,0.5112521963
WO_INV_0230,PPG1000:20+PPG400:80,2,110.11,80,0,20,0,0.5240588263
WO_INV_0231,PPG1000:20+PPG400:80,2.1,115.6155,80,0,20,0,0.5362114505
WO_INV_0232,PPG1000:20+PPG400:80,2.2,121.121,80,0,20,0,0.5477589193
WO_INV_0233,PPG1000:20+PPG400:80,2.3,126.6265,80,0,20,0,0.5587453365
WO_INV_0234,PPG1000:20+PPG400:80,2.4,132.132,80,0,20,0,0.5692106215
WO_INV_0235,PPG1000:20+PPG400:80,2.5,137.6375,80,0,20,0,0.5791909947
WO_INV_0236,PPG1000:20+PPG400:80,2.6,143.143,80,0,20,0,0.5887193956
WO_INV_0237,PPG1000:20+PPG400:80,2.7,148.6485,80,0,20,0,0.5978258465
WO_INV_0238,PPG1000:20+PPG400:80,2.8,154.154,80,0,20,0,0.6065377684
WO_INV_0239,PPG1000:20+PPG400:80,2.9,159.6595,80,0,20,0,0.6148802566
WO_INV_0240,PPG1000:20+PPG400:80,3,165.165,80,0,20,0,0.6228763223
WO_INV_0241,PPG1000:30+PPG400:70,1.5,76.951875,70,0,30,0,0.4348745951
WO_INV_0242,PPG1000:30+PPG400:70,1.6,82.082,70,0,30,0,0.4507968937
WO_INV_0243,PPG1000:30+PPG400:70,1.7,87.212125,70,0,30,0,0.4658465631
WO_INV_0244,PPG1000:30+PPG400:70,1.8,92.34225,70,0,30,0,0.4800934272
WO_INV_0245,PPG1000:30+PPG400:70,1.9,97.472375,70,0,30,0,0.4936000542
WO_INV_0246,PPG1000:30+PPG400:70,2,102.6025,70,0,30,0,0.5064226749
