cid,blend,nco_oh,mdi_parts,eta80,eta120,ratio,domain_ratio,unc_radius,in_domain,mdi_fraction,PPG1000,PPG2000,PPG400,PPG700,property_score,broad_margin,ea_two_point_kj_mol,check_nco_oh,check_mdi_fraction,check_eta80_broad,check_eta120_broad,check_ratio_broad,check_eta80_preferred,check_eta120_preferred,check_ratio_preferred,check_chemistry_in_domain,feasible_nominal,property_rank,nominal_rank,robust_check_interval_inside_broad,robust_check_domain_ratio_max,feasible_robust,robust_score,robust_rank
WO_INV_0264,PPG1000:40+PPG400:60,2.2,104.60450000000002,1.6332247701,0.217176251,7.5202733366,0.6048691259,0.053355812,True,0.5112521963104428,40.0,0.0,60.0,0.0,0.19362756126303957,0.22584301602525028,58.22738529917266,True,False,True,True,True,False,False,True,True,False,662.0,,False,True,False,0.28428895423697165,
WO_INV_0557,PPG2000:40+PPG400:60,2.7,114.86475,1.8140769124,0.2072460645,8.7532514384,0.8439950486,0.0610078416,True,0.5345909461649712,0.0,40.0,60.0,0.0,0.17770059306587996,0.25873298945773493,62.60894270780885,True,False,True,True,True,False,False,True,True,False,640.0,,True,True,False,0.28000191394062024,
WO_INV_0153,PPG1000:60+PPG2000:40,2.3,46.046,5.5776161087,0.5250643408,10.6227288268,0.6636901986,0.0552380864,True,0.3152842255179875,60.0,40.0,0.0,0.0,0.06380314564364188,0.20195342297808916,68.19533368221634,True,False,True,True,True,False,True,False,True,False,391.0,,False,True,False,0.14036280315258148,
WO_INV_0799,PPG400:10+PPG700:90,2.9,111.450625,1.7732497254,0.2018732949,8.7839737627,0.7840821891,0.0590906301,True,0.5270763564780194,0.0,0.0,10.0,90.0,0.19071336952105708,0.23246643239163425,62.71005763480158,True,False,True,True,True,False,False,True,True,False,659.0,,True,True,False,0.29199618320340576,
WO_INV_0854,PPG400:50+PPG700:50,2.0,98.3125,1.6047306015,0.2247917288,7.138743982,0.6862107241,0.0559587432,True,0.49574535140245823,0.0,0.0,50.0,50.0,0.19232571192684333,0.17377737876379754,56.72478706954917,True,False,True,True,True,False,False,True,True,False,661.0,,False,True,False,0.2925255199445106,
WO_INV_0726,PPG2000:60+PPG700:40,2.0,43.615,5.4728902488,0.5471077251,10.0033137862,0.6879393612,0.0560140596,True,0.3036939038401281,0.0,60.0,0.0,40.0,0.05880950719696744,0.2620329407412593,66.46145733417725,True,False,True,True,True,True,True,False,True,False,371.0,,True,True,False,0.13193798672868948,
WO_INV_0244,PPG1000:30+PPG400:70,1.8,92.34225,1.6214767353,0.2348405317,6.9045863751,0.8171866027,0.0601499713,True,0.4800934272111302,30.0,0.0,70.0,0.0,0.18108240329087028,0.14042641360872227,55.76228849460399,True,True,True,True,True,False,False,False,True,False,644.0,,False,True,False,0.29095731962576943,
WO_INV_0141,PPG1000:50+PPG2000:50,2.7,50.67562500000001,5.5167897906,0.4793234396,11.5095347619,0.870385744,0.0618523438,True,0.3363226467452848,50.0,50.0,0.0,0.0,0.06531999120486097,0.1217735558835053,70.50929991400116,True,False,True,True,True,False,True,False,True,False,394.0,,False,True,False,0.15663100926858475,
WO_INV_0867,PPG400:60+PPG700:40,1.7,88.12374999999999,1.6089518004,0.2396266774,6.714410172,0.843543517,0.0609933925,True,0.46843500621266587,0.0,0.0,60.0,40.0,0.18080229673679604,0.11249651951021511,54.956240374098556,True,True,True,True,True,False,False,False,True,False,643.0,,False,True,False,0.294827836763844,
WO_INV_0166,PPG1000:70+PPG2000:30,2.0,42.5425,5.4971097004,0.5536333904,9.9291513048,0.6776668103,0.0556853379,True,0.29845484680007717,70.0,30.0,0.0,0.0,0.06016887270170972,0.2694743508515976,66.24670053385921,True,False,True,True,True,True,True,False,True,False,381.0,,True,True,False,0.13282558328881014,
WO_INV_0813,PPG400:20+PPG700:80,2.7,111.00375,1.7089431821,0.2043169354,8.3641778332,0.7297033103,0.0573505059,True,0.5260747735526027,0.0,0.0,20.0,80.0,0.19609492013132482,0.24449857791677254,61.29677388228257,True,False,True,True,True,False,False,True,True,False,665.0,,True,True,False,0.2901581615475529,
